source,name,triplet,elevation,wind,timezone,lat,lng,date,depth,depth_change,water_equiv,water_equiv_change
SNOTEL,JUMP OFF JOE,552:OR:SNTL,3520,False,-8,44.38605,-122.16683,2014-11-07,0,,0.0,0.0
SNOTEL,POWDER RIVER PASS,703:WY:SNTL,9480,False,-7,44.16188,-107.12622,2014-11-07,0,0,0.0,0.0
SNOTEL,WILD BASIN,1042:CO:SNTL,9560,False,-7,40.20105,-105.60248,2014-11-07,1,0,0.2,0.0
SNOTEL,CASCADE,386:CO:SNTL,8880,False,-7,37.65083,-107.80602,2014-11-07,0,0,0.0,0.0
SNOTEL,GALLEGOS PEAK,491:NM:SNTL,9800,True,-7,36.19446,-105.55795,2014-11-07,2,1,0.3,0.0
SNOTEL,WILDCAT,866:AZ:SNTL,7850,False,-7,33.75835,-109.47973,2014-11-07,1,1,0.0,0.0
SNOTEL,THUMB DIVIDE,816:WY:SNTL,7980,False,-7,44.36888,-110.57825,2014-11-07,1,1,0.1,0.0
SNOTEL,SPIRIT LAKE,777:WA:SNTL,3520,False,-8,46.26113,-122.1772,2014-11-07,,,0.0,0.0
SNOTEL,TRUCKEE #2,834:CA:SNTL,6509,False,-8,39.30087,-120.18407,2014-11-07,,,0.0,-0.1
SNOTEL,SILVER CREEK NV,1205:NV:SNTLT,8000,False,-8,39.2334,-114.2427,2014-11-07,0,-2,,
SNOTEL,GOBBLERS KNOB,962:AK:SNTL,2030,True,-9,66.745,-150.6675,2014-11-07,1,0,,
SNOTEL,BRACKETT CREEK,365:MT:SNTL,7320,False,-7,45.89107,-110.93851,2014-11-07,4,-1,1.1,0.0
SNOTEL,LICK CREEK,578:MT:SNTL,6860,False,-7,45.5041,-110.96625,2014-11-07,0,0,0.0,0.0
SNOTEL,GOLD AXE CAMP,1159:WA:SNTL,5360,True,-8,48.9516,-118.9864,2014-11-07,0,,0.1,0.0
SNOTEL,WHITE ELEPHANT,860:ID:SNTL,7710,False,-7,44.53267,-111.41085,2014-11-07,3,0,1.0,0.0
SNOTEL,MCNEIL CANYON,1003:AK:SNTL,1320,False,-9,59.74433,-151.25133,2014-11-07,4,2,0.3,0.0
SNOTEL,MICHIGAN CREEK,937:CO:SNTL,10600,False,-7,39.43577,-105.91078,2014-11-07,0,0,0.2,0.0
SNOTEL,SPUR PARK,781:MT:SNTL,8100,True,-7,46.77962,-110.62165,2014-11-07,4,0,1.1,0.0
SNOTEL,BROWN DUCK,368:UT:SNTL,10600,False,-7,40.581,-110.58583,2014-11-07,4,3,0.6,0.2
SNOTEL,DIVIDE,448:MT:SNTL,7800,False,-7,44.79317,-112.05645,2014-11-07,1,0,0.4,0.1
SNOTEL,MT BALDY,1224:UT:SNTL,9494,False,-7,39.13667,-111.5054,2014-11-07,3,0,0.9,0.0
SNOTEL,BEAVER HEAD,902:AZ:SNTL,7990,False,-7,33.69144,-109.21657,2014-11-07,2,0,0.0,0.0
SNOTEL,BUCK PASTURE,1192:UT:SNTL,9700,False,-7,40.8446,-110.66075,2014-11-07,0,0,0.3,0.1
SNOTEL,VIENNA MINE,845:ID:SNTL,8960,True,-7,43.79942,-114.85273,2014-11-07,5,0,1.5,0.1
SNOTEL,WILLOW CREEK,868:WY:SNTL,8380,False,-7,42.81513,-110.83515,2014-11-07,1,,0.3,0.1
SNOTEL,CHISANA,1093:AK:SNTL,3320,False,-9,62.069,-142.049,2014-11-07,6,0,0.8,-0.1
SNOTEL,BLACKTAIL MTN,1144:MT:SNTL,5650,False,-7,47.98288,-114.3543,2014-11-07,0,0,0.0,0.0
SNOTEL,THREE CREEKS MEADOW,815:OR:SNTL,5690,False,-8,44.14425,-121.64095,2014-11-07,0,,0.2,0.0
SNOTEL,SHELL CREEK,751:WY:SNTL,9580,False,-7,44.50012,-107.42947,2014-11-07,1,-1,0.3,0.0
